threshold,country,year_dropped_below,avg_tfr_after_cross,min_tfr,min_tfr_year,subsequent_peak_tfr,subsequent_peak_tfr_year,avg_tfr_after_min,avg_tfr_period
1.5,Portugal,1994,1.397,1.213,2013,1.538,2000,1.379,2014-2023
1.5,Puerto Rico,2013,1.129,0.934,2020,1.473,2013,0.942,2021-2023
1.5,Romania,1993,1.496,1.27,2002,1.77,2017,1.577,2003-2023
1.5,Russia,1993,1.457,1.183,1999,1.79,2015,1.503,2000-2023
1.5,Serbia,1995,1.416,1.316,2007,1.519,2022,1.454,2008-2023
1.5,Singapore,1986,1.181,0.934,2010,1.75,1988,0.959,2011-2023
1.5,Slovakia,1996,1.401,1.185,2002,1.631,2021,1.426,2003-2023
1.5,Slovenia,1990,1.427,1.203,2003,1.64,2021,1.527,2004-2023
1.5,South Korea,1998,1.141,0.72,2023,1.497,1998,,
1.5,Spain,1987,1.285,1.131,1998,1.492,1987,1.289,1999-2023
1.5,Sweden,2023,1.43,1.43,2023,1.43,2023,,
1.5,Switzerland,1994,1.474,1.382,2003,1.54,2016,1.484,2004-2023
1.5,Taiwan,2000,1.117,0.87,2022,1.472,2000,0.87,2023-2023
1.5,Thailand,2014,1.323,1.212,2023,1.484,2014,,
1.5,Ukraine,1994,1.282,0.897,2022,1.528,2012,0.977,2023-2023
1.5,United Arab Emirates,2014,1.295,1.148,2022,1.483,2014,1.2,2023-2023
1.5,Uruguay,2020,1.444,1.409,2023,1.497,2020,,
